Name,Email,Year,Gender,Ethnicity,Major,Courses
Dorothy Lang,dorothylang@stanford.edu,2020,female,Native Hawaiian or Pacific Islander,Aeronautics and Astronautics,"['AA 121Q', 'AA 203', 'AA 218', 'AA 240B', 'AA 241X', 'AA 279B', 'AA 280', 'AA 290']"
Richard Swainston,richardswainston@stanford.edu,2021,male,Asian,Aeronautics and Astronautics,"['AA 100', 'AA 122N', 'AA 215B', 'AA 228', 'AA 241X', 'AA 244A', 'AA 248E', 'AA 260']"
Sara Smith,sarasmith@stanford.edu,2018,female,American Indian or Alaskan Native,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 213', 'CS 224S', 'CS 106B', 'CS 107']"
Ryan Scott,ryanscott@stanford.edu,2021,male,Black or African American,Management Science and Engineering,"['MS&E 121', 'MS&E 181', 'MS&E 250B', 'MS&E 265', 'MS&E 278', 'MS&E 301', 'MS&E 312', 'MS&E 802']"
John Low,johnlow@stanford.edu,2019,male,Native Hawaiian or Pacific Islander,Electrical Engineering,"['EE 104', 'EE 151', 'EE 178', 'EE 222', 'EE 251', 'EE 310', 'EE 376B', 'EE 392I']"
Kenneth Woods,kennethwoods@stanford.edu,2019,male,American Indian or Alaskan Native,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 124', 'CS 161', 'CS 345S', 'CS 56N', 'CS 106B']"
Johnny Harvey,johnnyharvey@stanford.edu,2018,male,Other,Mechanical Engineering,"['ME 16N', 'ME 191', 'ME 26N', 'ME 359A', 'ME 375C', 'ME 388', 'ME 408', 'ME 802']"
Tandra Hobbs,tandrahobbs@stanford.edu,2021,female,White,Computer Science,"['CS 103', 'CS 106A', 'CS 106X', 'CS 109', 'CS 204', 'CS 375', 'CS 390T', 'CS 107']"
Michel Nunez,michelnunez@stanford.edu,2020,male,Native Hawaiian or Pacific Islander,Aeronautics and Astronautics,"['AA 116Q', 'AA 141', 'AA 201A', 'AA 215B', 'AA 228', 'AA 257', 'AA 279B', 'AA 280']"
Anna Robison,annarobison@stanford.edu,2020,female,Native Hawaiian or Pacific Islander,Management Science and Engineering,"['MS&E 140X', 'MS&E 175', 'MS&E 190', 'MS&E 221', 'MS&E 250B', 'MS&E 355', 'MS&E 371', 'MS&E 454']"
John Pollack,johnpollack@stanford.edu,2020,male,Asian,Management Science and Engineering,"['MS&E 125', 'MS&E 145', 'MS&E 221', 'MS&E 276', 'MS&E 334', 'MS&E 376', 'MS&E 391', 'MS&E 408']"
Roberto Shirkey,robertoshirkey@stanford.edu,2019,male,American Indian or Alaskan Native,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 168', 'CS 377D', 'CS 390W', 'CS 106B']"
Jennifer Nicholas,jennifernicholas@stanford.edu,2021,female,White,Civil and Environmental Engineering,"['CEE 176B', 'CEE 17SC', 'CEE 252Q', 'CEE 262A', 'CEE 263A', 'CEE 365B', 'CEE 379', 'CEE 385']"
Pedro Nunez,pedronunez@stanford.edu,2018,male,Other,Mechanical Engineering,"['ME 218D', 'ME 225', 'ME 226', 'ME 227', 'ME 299A', 'ME 302', 'ME 355', 'ME 80']"
Lillie Macha,lilliemacha@stanford.edu,2018,female,White,Chemical Engineering,"['CHEMENG 170', 'CHEMENG 180', 'CHEMENG 181', 'CHEMENG 185B', 'CHEMENG 442', 'CHEMENG 513', 'CHEMENG 514', 'CHEMENG 600']"
Amanda Roll,amandaroll@stanford.edu,2018,female,White,Computer Science,"['CS 103', 'CS 106A', 'CS 106A', 'CS 109', 'CS 161', 'CS 375', 'CS 106B', 'CS 107']"
George Broderick,georgebroderick@stanford.edu,2021,male,Black or African American,Bioengineering,"['BIOE 122', 'BIOE 123', 'BIOE 141A', 'BIOE 284B', 'BIOE 301C', 'BIOE 376', 'BIOE 51', 'BIOE 70Q']"
Jason Alcala,jasonalcala@stanford.edu,2020,male,White,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 231A', 'CS 267', 'CS 294S', 'CS 341', 'CS 107']"
Peggy Camp,peggycamp@stanford.edu,2020,female,White,Computer Science,"['CS 103', 'CS 106A', 'CS 161', 'CS 193X', 'CS 210B', 'CS 225A', 'CS 361', 'CS 107']"
Kyle Lockwood,kylelockwood@stanford.edu,2020,male,Native Hawaiian or Pacific Islander,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 223A', 'CS 82', 'CS 106B', 'CS 107']"
Carol Jones,caroljones@stanford.edu,2021,female,Black or African American,Civil and Environmental Engineering,"['CEE 130', 'CEE 141A', 'CEE 199B', 'CEE 241', 'CEE 261B', 'CEE 262A', 'CEE 273C', 'CEE 400']"
Gordon Garcia,gordongarcia@stanford.edu,2021,male,White,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 181W', 'CS 358', 'CS 393', 'CS 106B', 'CS 107']"
Dora Shummon,dorashummon@stanford.edu,2018,female,American Indian or Alaskan Native,Computer Science,"['CS 103', 'CS 106A', 'CS 106S', 'CS 109', 'CS 198B', 'CS 424M', 'CS 50', 'CS 107']"
Kimberli Hector,kimberlihector@stanford.edu,2020,female,White,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 213', 'CS 269O', 'CS 106B', 'CS 107']"
Jacquline Newton,jacqulinenewton@stanford.edu,2020,female,Other,Aeronautics and Astronautics,"['AA 199', 'AA 200', 'AA 236C', 'AA 284A', 'AA 284C', 'AA 295', 'AA 300', 'AA 801']"
Edward Strong,edwardstrong@stanford.edu,2018,male,White,Bioengineering,"['BIOE 101', 'BIOE 122', 'BIOE 213', 'BIOE 220', 'BIOE 260', 'BIOE 291', 'BIOE 331', 'BIOE 361']"
Jason Phillips,jasonphillips@stanford.edu,2021,male,Other,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 233', 'CS 326', 'CS 375', 'CS 106B', 'CS 107']"
Wilma White,wilmawhite@stanford.edu,2021,female,Black or African American,Mechanical Engineering,"['ME 235', 'ME 241', 'ME 351A', 'ME 357', 'ME 386', 'ME 390A', 'ME 406', 'ME 801']"
Irene Morales,irenemorales@stanford.edu,2021,female,Asian,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 168', 'CS 224W', 'CS 106B', 'CS 107']"
Rose Hail,rosehail@stanford.edu,2018,female,American Indian or Alaskan Native,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 109L', 'CS 161', 'CS 379C', 'CS 106B', 'CS 107']"
Leslie Buddenhagen,lesliebuddenhagen@stanford.edu,2018,female,American Indian or Alaskan Native,Mechanical Engineering,"['ME 131A', 'ME 212', 'ME 239', 'ME 243', 'ME 299B', 'ME 301', 'ME 316C', 'ME 400']"
Allen Massenburg,allenmassenburg@stanford.edu,2020,male,Native Hawaiian or Pacific Islander,Mechanical Engineering,"['ME 14N', 'ME 240', 'ME 242B', 'ME 300B', 'ME 332', 'ME 354', 'ME 453B', 'ME 80']"
Joseph Remillard,josephremillard@stanford.edu,2018,male,Asian,Electrical Engineering,"['EE 108', 'EE 116', 'EE 118', 'EE 223', 'EE 233', 'EE 253', 'EE 29N', 'EE 378B']"
Forrest Parker,forrestparker@stanford.edu,2021,male,Black or African American,Materials Science and Engineering,"['MATSCI 161', 'MATSCI 163', 'MATSCI 174', 'MATSCI 241', 'MATSCI 312', 'MATSCI 323', 'MATSCI 331', 'MATSCI 83N']"
Benjamin Fischer,benjaminfischer@stanford.edu,2021,male,American Indian or Alaskan Native,Computer Science,"['CS 103', 'CS 106A', 'CS 161', 'CS 251', 'CS 269G', 'CS 274', 'CS 377C', 'CS 107']"
Lawrence Benham,lawrencebenham@stanford.edu,2020,male,Asian,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 142', 'CS 244', 'CS 245', 'CS 106B', 'CS 107']"
Jessica Cordeiro,jessicacordeiro@stanford.edu,2020,female,Black or African American,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 348B', 'CS 390D', 'CS 106B', 'CS 107']"
Mabel Macnab,mabelmacnab@stanford.edu,2018,female,Asian,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 244', 'CS 390W', 'CS 54N', 'CS 106B', 'CS 107']"
Adam Yates,adamyates@stanford.edu,2021,male,American Indian or Alaskan Native,Electrical Engineering,"['EE 153', 'EE 191', 'EE 207', 'EE 225', 'EE 233', 'EE 256', 'EE 290E', 'EE 292E']"
Jennifer Conner,jenniferconner@stanford.edu,2020,female,American Indian or Alaskan Native,Aeronautics and Astronautics,"['AA 215A', 'AA 241X', 'AA 242B', 'AA 244A', 'AA 260', 'AA 277', 'AA 284B', 'AA 295']"
Samuel Elliott,samuelelliott@stanford.edu,2019,male,American Indian or Alaskan Native,Aeronautics and Astronautics,"['AA 100', 'AA 201B', 'AA 218', 'AA 228', 'AA 241B', 'AA 241X', 'AA 272D', 'AA 279B']"
Lee Kraft,leekraft@stanford.edu,2020,male,Asian,Electrical Engineering,"['EE 102A', 'EE 124', 'EE 308', 'EE 349', 'EE 356A', 'EE 364B', 'EE 385A', 'EE 392I']"
Jeffrey Wang,jeffreywang@stanford.edu,2018,male,Other,Aeronautics and Astronautics,"['AA 119N', 'AA 190', 'AA 200', 'AA 206', 'AA 214A', 'AA 215A', 'AA 242B', 'AA 284A']"
Tisha Crocker,tishacrocker@stanford.edu,2018,female,American Indian or Alaskan Native,Management Science and Engineering,"['MS&E 125', 'MS&E 267', 'MS&E 275', 'MS&E 319', 'MS&E 321', 'MS&E 349', 'MS&E 383', 'MS&E 450']"
Katherine Ridgeway,katherineridgeway@stanford.edu,2020,female,American Indian or Alaskan Native,Computer Science,"['CS 103', 'CS 106A', 'CS 106L', 'CS 109', 'CS 183F', 'CS 390B', 'CS 390T', 'CS 106B']"
Cynthia Lendon,cynthialendon@stanford.edu,2020,female,Asian,Electrical Engineering,"['EE 151', 'EE 191', 'EE 225', 'EE 255', 'EE 376A', 'EE 377', 'EE 46', 'EE 801']"
Bryant Hodges,bryanthodges@stanford.edu,2019,male,White,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 390W', 'CS 499', 'CS 106B', 'CS 107']"
Heather Rudy,heatherrudy@stanford.edu,2020,female,Other,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 194W', 'CS 377E', 'CS 106B', 'CS 107']"
Nathaniel Davis,nathanieldavis@stanford.edu,2019,male,Asian,Civil and Environmental Engineering,"['CEE 176G', 'CEE 199A', 'CEE 1A', 'CEE 224X', 'CEE 240', 'CEE 259A', 'CEE 263G', 'CEE 272T']"
Charles Janes,charlesjanes@stanford.edu,2018,male,Black or African American,Computer Science,"['CS 103', 'CS 103A', 'CS 106A', 'CS 109', 'CS 161', 'CS 191', 'CS 106B', 'CS 107']"
Dylan Conner,dylanconner@stanford.edu,2020,male,Other,Materials Science and Engineering,"['MATSCI 160', 'MATSCI 190', 'MATSCI 193', 'MATSCI 202', 'MATSCI 203', 'MATSCI 316', 'MATSCI 343', 'MATSCI 84N']"
Timothy Martin,timothymartin@stanford.edu,2019,male,White,Chemical Engineering,"['CHEMENG 10', 'CHEMENG 12SC', 'CHEMENG 183', 'CHEMENG 25B', 'CHEMENG 35N', 'CHEMENG 462', 'CHEMENG 470', 'CHEMENG 90Q']"
Bonny Saleh,bonnysaleh@stanford.edu,2019,female,Other,Computer Science,"['CS 103', 'CS 106A', 'CS 106AJ', 'CS 108', 'CS 161', 'CS 194H', 'CS 22A', 'CS 41']"
Michael Peno,michaelpeno@stanford.edu,2021,male,Native Hawaiian or Pacific Islander,Civil and Environmental Engineering,"['CEE 204', 'CEE 273F', 'CEE 275K', 'CEE 279S', 'CEE 290', 'CEE 363A', 'CEE 370C', 'CEE 381']"
Arlene Augeri,arleneaugeri@stanford.edu,2021,female,Other,Chemical Engineering,"['CHEMENG 100', 'CHEMENG 142', 'CHEMENG 191H', 'CHEMENG 240', 'CHEMENG 35N', 'CHEMENG 454', 'CHEMENG 516', 'CHEMENG 70Q']"
Terry Boyd,terryboyd@stanford.edu,2020,male,White,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 199P', 'CS 279', 'CS 341', 'CS 361', 'CS 107']"
Mattie Solarz,mattiesolarz@stanford.edu,2018,female,White,Bioengineering,"['BIOE 123', 'BIOE 141A', 'BIOE 213', 'BIOE 214', 'BIOE 221G', 'BIOE 224', 'BIOE 301A', 'BIOE 335']"
Kimberly Williams,kimberlywilliams@stanford.edu,2020,female,American Indian or Alaskan Native,Chemical Engineering,"['CHEMENG 100', 'CHEMENG 170', 'CHEMENG 320', 'CHEMENG 345', 'CHEMENG 420', 'CHEMENG 484', 'CHEMENG 501', 'CHEMENG 505']"
Thomas Harris,thomasharris@stanford.edu,2020,male,Native Hawaiian or Pacific Islander,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 294S', 'CS 358', 'CS 106B', 'CS 107']"
Troy Mckenzie,troymckenzie@stanford.edu,2020,male,Other,Bioengineering,"['BIOE 10N', 'BIOE 260', 'BIOE 261', 'BIOE 281', 'BIOE 311', 'BIOE 326A', 'BIOE 361', 'BIOE 459']"
Frank Paletta,frankpaletta@stanford.edu,2020,male,Other,Computer Science,"['CS 103', 'CS 106A', 'CS 161', 'CS 244C', 'CS 245', 'CS 247', 'CS 390R', 'CS 106B']"
Daniel Kenely,danielkenely@stanford.edu,2018,male,White,Bioengineering,"['BIOE 122', 'BIOE 141A', 'BIOE 219', 'BIOE 242', 'BIOE 285', 'BIOE 301B', 'BIOE 459', 'BIOE 485']"
William Natividad,williamnatividad@stanford.edu,2021,male,Black or African American,Computer Science,"['CS 103', 'CS 106A', 'CS 106AP', 'CS 109', 'CS 161', 'CS 241', 'CS 248', 'CS 107']"
Jose Lambert,joselambert@stanford.edu,2018,male,Asian,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 329M', 'CS 390W', 'CS 106B', 'CS 107']"
Jason Cintron,jasoncintron@stanford.edu,2020,male,American Indian or Alaskan Native,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 170', 'CS 82', 'CS 106B', 'CS 107']"
John Streeter,johnstreeter@stanford.edu,2021,male,Other,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 359C', 'CS 83', 'CS 106B', 'CS 107']"
Anya Hobden,anyahobden@stanford.edu,2018,female,Other,Civil and Environmental Engineering,"['CEE 122B', 'CEE 141C', 'CEE 175Q', 'CEE 275B', 'CEE 32D', 'CEE 50N', 'CEE 63', 'CEE 801']"
Deirdre Keffer,deirdrekeffer@stanford.edu,2018,female,Asian,Aeronautics and Astronautics,"['AA 203', 'AA 208', 'AA 222', 'AA 244A', 'AA 250', 'AA 252', 'AA 272C', 'AA 801']"
Bryan Stewart,bryanstewart@stanford.edu,2018,male,Other,Chemical Engineering,"['CHEMENG 100', 'CHEMENG 190H', 'CHEMENG 310', 'CHEMENG 31N', 'CHEMENG 482', 'CHEMENG 500', 'CHEMENG 507', 'CHEMENG 520']"
Diane Dame,dianedame@stanford.edu,2021,female,American Indian or Alaskan Native,Chemical Engineering,"['CHEMENG 100', 'CHEMENG 120A', 'CHEMENG 150', 'CHEMENG 162', 'CHEMENG 183', 'CHEMENG 190H', 'CHEMENG 296', 'CHEMENG 600']"
Thomas Lanham,thomaslanham@stanford.edu,2021,male,American Indian or Alaskan Native,Management Science and Engineering,"['MS&E 148', 'MS&E 220', 'MS&E 240', 'MS&E 282', 'MS&E 330', 'MS&E 338', 'MS&E 352', 'MS&E 489']"
Charles Kowalski,charleskowalski@stanford.edu,2018,male,American Indian or Alaskan Native,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 279', 'CS 327A', 'CS 390S', 'CS 106B', 'CS 107']"
Clifford Gilman,cliffordgilman@stanford.edu,2021,male,Other,Computer Science,"['CS 103', 'CS 106A', 'CS 106S', 'CS 109', 'CS 316', 'CS 331B', 'CS 390W', 'CS 106B']"
Micheal Bailey,michealbailey@stanford.edu,2019,male,Black or African American,Materials Science and Engineering,"['MATSCI 159Q', 'MATSCI 174', 'MATSCI 194', 'MATSCI 203', 'MATSCI 209', 'MATSCI 303', 'MATSCI 316', 'MATSCI 381']"
Mark Rosales,markrosales@stanford.edu,2019,male,Black or African American,Civil and Environmental Engineering,"['CEE 220B', 'CEE 259B', 'CEE 271M', 'CEE 275P', 'CEE 277L', 'CEE 281', 'CEE 361', 'CEE 371M']"
Stanley Moore,stanleymoore@stanford.edu,2020,male,Native Hawaiian or Pacific Islander,Civil and Environmental Engineering,"['CEE 162F', 'CEE 199H', 'CEE 260A', 'CEE 272R', 'CEE 299L', 'CEE 362A', 'CEE 371L', 'CEE 64']"
Joseph Sturgeon,josephsturgeon@stanford.edu,2020,male,Asian,Chemical Engineering,"['CHEMENG 10', 'CHEMENG 140', 'CHEMENG 160', 'CHEMENG 25E', 'CHEMENG 345', 'CHEMENG 464', 'CHEMENG 500', 'CHEMENG 505']"
Abdul Hutchens,abdulhutchens@stanford.edu,2019,male,Native Hawaiian or Pacific Islander,Electrical Engineering,"['EE 14N', 'EE 17N', 'EE 205', 'EE 284', 'EE 308', 'EE 327', 'EE 382A', 'EE 386']"
Henry Coleman,henrycoleman@stanford.edu,2020,male,White,Computer Science,"['CS 103', 'CS 106A', 'CS 106S', 'CS 161', 'CS 361', 'CS 424M', 'CS 106B', 'CS 107']"
Mabel Martin,mabelmartin@stanford.edu,2020,female,American Indian or Alaskan Native,Materials Science and Engineering,"['MATSCI 202', 'MATSCI 301', 'MATSCI 311', 'MATSCI 346', 'MATSCI 380', 'MATSCI 381', 'MATSCI 82N', 'MATSCI 84N']"
Daniel Williams,danielwilliams@stanford.edu,2020,male,Black or African American,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 147', 'CS 1U', 'CS 269G', 'CS 50', 'CS 107']"
Kenneth Awalt,kennethawalt@stanford.edu,2019,male,Asian,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 210A', 'CS 95SI', 'CS 106B', 'CS 107']"
Roger Salas,rogersalas@stanford.edu,2021,male,White,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 203', 'CS 269G', 'CS 390D', 'CS 106B', 'CS 107']"
Yevette Anders,yevetteanders@stanford.edu,2020,female,White,Management Science and Engineering,"['MS&E 208E', 'MS&E 211X', 'MS&E 213', 'MS&E 226', 'MS&E 292', 'MS&E 325', 'MS&E 332', 'MS&E 475A']"
Katherine Ramirez,katherineramirez@stanford.edu,2018,female,Black or African American,Mechanical Engineering,"['ME 110', 'ME 203X', 'ME 240', 'ME 243', 'ME 289B', 'ME 298', 'ME 300A', 'ME 376A']"
Virgil Garing,virgilgaring@stanford.edu,2021,male,White,Civil and Environmental Engineering,"['CEE 122A', 'CEE 124X', 'CEE 166D', 'CEE 176C', 'CEE 207S', 'CEE 263C', 'CEE 277S', 'CEE 284']"
Katherine Applebury,katherineapplebury@stanford.edu,2020,female,Other,Computer Science,"['CS 103', 'CS 106A', 'CS 106AP', 'CS 109', 'CS 155', 'CS 161', 'CS 341', 'CS 107']"
Ray Anderson,rayanderson@stanford.edu,2019,male,Native Hawaiian or Pacific Islander,Chemical Engineering,"['CHEMENG 120A', 'CHEMENG 25B', 'CHEMENG 442', 'CHEMENG 454', 'CHEMENG 507', 'CHEMENG 516', 'CHEMENG 518', 'CHEMENG 519']"
Robert Gorski,robertgorski@stanford.edu,2020,male,Other,Electrical Engineering,"['EE 108', 'EE 216', 'EE 222', 'EE 253', 'EE 254', 'EE 261', 'EE 331', 'EE 340']"
Eula Hooten,eulahooten@stanford.edu,2020,female,American Indian or Alaskan Native,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 275B', 'CS 359', 'CS 54N', 'CS 106B', 'CS 107']"
June Torres,junetorres@stanford.edu,2019,female,Black or African American,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 155', 'CS 203', 'CS 213', 'CS 448B', 'CS 107']"
Suzanne Mcleary,suzannemcleary@stanford.edu,2021,female,Other,Mechanical Engineering,"['ME 137', 'ME 208', 'ME 210', 'ME 302B', 'ME 323', 'ME 331B', 'ME 352A', 'ME 801']"
Linda Ruark,lindaruark@stanford.edu,2020,female,Other,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 193X', 'CS 255', 'CS 106B', 'CS 107']"
Brenda Sprenger,brendasprenger@stanford.edu,2018,female,Black or African American,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 147', 'CS 161', 'CS 345S', 'CS 349', 'CS 581']"
Nicole Spriggs,nicolespriggs@stanford.edu,2021,female,American Indian or Alaskan Native,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 333', 'CS 390A', 'CS 106B', 'CS 107']"
Brian Glasper,brianglasper@stanford.edu,2018,male,Black or African American,Management Science and Engineering,"['MS&E 146', 'MS&E 148', 'MS&E 208B', 'MS&E 240', 'MS&E 244', 'MS&E 275', 'MS&E 326', 'MS&E 381']"
Dianna Fields,diannafields@stanford.edu,2019,female,Native Hawaiian or Pacific Islander,Computer Science,"['CS 103', 'CS 106A', 'CS 238', 'CS 255', 'CS 348A', 'CS 375', 'CS 52', 'CS 106B']"
Julie Fane,juliefane@stanford.edu,2018,female,Black or African American,Computer Science,"['CS 103', 'CS 106A', 'CS 106L', 'CS 109', 'CS 161', 'CS 224W', 'CS 106B', 'CS 107']"
Earnest Decaire,earnestdecaire@stanford.edu,2021,male,Asian,Civil and Environmental Engineering,"['CEE 101C', 'CEE 112C', 'CEE 166B', 'CEE 199E', 'CEE 222A', 'CEE 222B', 'CEE 320', 'CEE 70Q']"
Kelly Anderson,kellyanderson@stanford.edu,2020,female,American Indian or Alaskan Native,Civil and Environmental Engineering,"['CEE 124Y', 'CEE 166B', 'CEE 166D', 'CEE 200A', 'CEE 220S', 'CEE 265C', 'CEE 307', 'CEE 375A']"
Sharon Bennett,sharonbennett@stanford.edu,2019,female,White,Bioengineering,"['BIOE 101', 'BIOE 10N', 'BIOE 123', 'BIOE 141B', 'BIOE 214', 'BIOE 291', 'BIOE 300A', 'BIOE 377']"
Kevin Avery,kevinavery@stanford.edu,2019,male,Asian,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 166', 'CS 323', 'CS 375', 'CS 107']"
Robert Bible,robertbible@stanford.edu,2021,male,Other,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 232', 'CS 279', 'CS 390B', 'CS 106B', 'CS 107']"
Linda Griggs,lindagriggs@stanford.edu,2018,female,Other,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 246', 'CS 273A', 'CS 28', 'CS 106B']"
James Miller,jamesmiller@stanford.edu,2019,male,White,Mechanical Engineering,"['ME 191', 'ME 241', 'ME 316A', 'ME 319', 'ME 323', 'ME 410B', 'ME 414', 'ME 453B']"
Kristie Brock,kristiebrock@stanford.edu,2018,female,White,Aeronautics and Astronautics,"['AA 100', 'AA 115N', 'AA 119N', 'AA 214B', 'AA 229', 'AA 236C', 'AA 294', 'AA 301']"
Daniel Joseph,danieljoseph@stanford.edu,2020,male,Asian,Computer Science,"['CS 103', 'CS 106A', 'CS 183F', 'CS 194W', 'CS 224S', 'CS 268', 'CS 106B', 'CS 107']"
Rhonda Edwards,rhondaedwards@stanford.edu,2019,female,Native Hawaiian or Pacific Islander,Civil and Environmental Engineering,"['CEE 122A', 'CEE 125', 'CEE 271F', 'CEE 308', 'CEE 328A', 'CEE 32G', 'CEE 400', 'CEE 802']"
Karin James,karinjames@stanford.edu,2021,female,Black or African American,Chemical Engineering,"['CHEMENG 10', 'CHEMENG 150', 'CHEMENG 456', 'CHEMENG 514', 'CHEMENG 517', 'CHEMENG 522', 'CHEMENG 801', 'CHEMENG 802']"
Carol Bruce,carolbruce@stanford.edu,2018,female,White,Electrical Engineering,"['EE 103', 'EE 169', 'EE 204S', 'EE 223', 'EE 236AL', 'EE 26N', 'EE 368', 'EE 384B']"
Antonio Phillips,antoniophillips@stanford.edu,2019,male,White,Computer Science,"['CS 103', 'CS 106A', 'CS 161', 'CS 194H', 'CS 251', 'CS 399P', 'CS 106B', 'CS 107']"
Sandra Huffman,sandrahuffman@stanford.edu,2020,female,White,Computer Science,"['CS 103', 'CS 106A', 'CS 107', 'CS 109', 'CS 124', 'CS 232', 'CS 106B', 'CS 107']"
John Bianco,johnbianco@stanford.edu,2019,male,American Indian or Alaskan Native,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 1C', 'CS 390P', 'CS 106B', 'CS 107']"
Erick Plateroti,erickplateroti@stanford.edu,2020,male,Other,Computer Science,"['CS 103', 'CS 106A', 'CS 109', 'CS 161', 'CS 166', 'CS 395', 'CS 106B', 'CS 107']"
Alice Giffin,alicegiffin@stanford.edu,2018,female,Black or African American,Computer Science,"['CS 103', 'CS 106A', 'CS 106A', 'CS 161', 'CS 206', 'CS 246H', 'CS 499', 'CS 106B']"
Edward Kilcoyne,edwardkilcoyne@stanford.edu,2021,male,American Indian or Alaskan Native,Electrical Engineering,"['EE 108', 'EE 169', 'EE 191', 'EE 203', 'EE 222', 'EE 378A', 'EE 385A', 'EE 392K']"
Miriam Wheat,miriamwheat@stanford.edu,2018,female,White,Aeronautics and Astronautics,"['AA 116Q', 'AA 119N', 'AA 203', 'AA 248E', 'AA 271A', 'AA 279D', 'AA 284B', 'AA 291']"
Maritza Herrera,maritzaherrera@stanford.edu,2019,female,Other,Computer Science,"['CS 103', 'CS 106A', 'CS 161', 'CS 199', 'CS 246', 'CS 251', 'CS 106B', 'CS 107']"
Roger Knight,rogerknight@stanford.edu,2020,male,Other,Civil and Environmental Engineering,"['CEE 179S', 'CEE 234B', 'CEE 262B', 'CEE 265D', 'CEE 278A', 'CEE 293', 'CEE 297M', 'CEE 326']"
Willie Delgado,williedelgado@stanford.edu,2020,male,American Indian or Alaskan Native,Mechanical Engineering,"['ME 11SC', 'ME 131B', 'ME 25N', 'ME 261', 'ME 284B', 'ME 371', 'ME 389', 'ME 414']"
Howard Curry,howardcurry@stanford.edu,2020,male,Black or African American,Materials Science and Engineering,"['MATSCI 142', 'MATSCI 145', 'MATSCI 160', 'MATSCI 202', 'MATSCI 208', 'MATSCI 323', 'MATSCI 346', 'MATSCI 399']"
Elizabeth Wolfertz,elizabethwolfertz@stanford.edu,2021,female,White,Bioengineering,"['BIOE 222', 'BIOE 256', 'BIOE 333', 'BIOE 337', 'BIOE 390', 'BIOE 392', 'BIOE 484', 'BIOE 80']"
Terry Rodriguez,terryrodriguez@stanford.edu,2020,male,White,Computer Science,"['CS 103', 'CS 106A', 'CS 161', 'CS 244', 'CS 269I', 'CS 390C', 'CS 106B', 'CS 107']"
Nina Gonzalez,ninagonzalez@stanford.edu,2021,female,Black or African American,Electrical Engineering,"['EE 133', 'EE 17N', 'EE 255', 'EE 292I', 'EE 292T', 'EE 347', 'EE 384S', 'EE 392T']"
Cynthia Lieberman,cynthialieberman@stanford.edu,2019,female,American Indian or Alaskan Native,Computer Science,"['CS 103', 'CS 106A', 'CS 161', 'CS 202', 'CS 205A', 'CS 205B', 'CS 106B', 'CS 107']"
Danial Maskell,danialmaskell@stanford.edu,2021,male,Native Hawaiian or Pacific Islander,Civil and Environmental Engineering,"['CEE 1', 'CEE 17SC', 'CEE 224S', 'CEE 224Y', 'CEE 241C', 'CEE 273', 'CEE 370D', 'CEE 83']"
